SKU;Ціна фіду стара;Ціна фіду нова;Зміна фіду %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Доступний;Залишок;Причина алерту
CTBA0832;504.00;504.00;+0.00%;590.00;590.00;+0.00%;15.14%;Ні;*;недоступний у фіді
CTHA2145;535.00;535.00;+0.00%;620.00;620.00;+0.00%;15.14%;Ні;*;недоступний у фіді
CTIB3517;1943.00;1943.00;+0.00%;2250.00;2250.00;+0.00%;15.34%;Ні;*;недоступний у фіді
CVCP2201;329.00;329.00;+0.00%;380.00;380.00;+0.00%;14.60%;Ні;*;недоступний у фіді
D-929-1.3LM;5584.00;5584.00;+0.00%;6330.00;6330.00;+0.00%;13.20%;Ні;*;недоступний у фіді
D-929-1.4LM;5584.00;5584.00;+0.00%;6330.00;6330.00;+0.00%;13.20%;Ні;*;недоступний у фіді
D-951-MINI-0.8;2768.00;2768.00;+0.00%;3140.00;3140.00;+0.00%;13.20%;Ні;*;недоступний у фіді
D-951-MINI-0.8LM;2768.00;2768.00;+0.00%;3140.00;3140.00;+0.00%;13.20%;Ні;*;недоступний у фіді
D-951-MINI-1.0;2768.00;2768.00;+0.00%;3140.00;3140.00;+0.00%;13.20%;Ні;*;недоступний у фіді
D-951-MINI-1.0LM;2768.00;2768.00;+0.00%;3140.00;3140.00;+0.00%;13.20%;Ні;*;недоступний у фіді
D35;1209.00;1209.00;+0.00%;1390.00;1390.00;+0.00%;14.97%;Ні;*;недоступний у фіді
DA-3100D;12523.00;12523.00;+0.00%;14360.00;14360.00;+0.00%;14.66%;Ні;*;недоступний у фіді
DA-3100NS;4092.00;4092.00;+0.00%;4700.00;4700.00;+0.00%;14.66%;Ні;*;недоступний у фіді
DA-5100;8221.00;8221.00;+0.00%;9430.00;9430.00;+0.00%;14.66%;Ні;*;недоступний у фіді
DDAC1A48;11425.00;11425.00;+0.00%;13160.00;13160.00;+0.00%;15.14%;Ні;*;недоступний у фіді
DDAH1A08;1124.00;1124.00;+0.00%;1300.00;1300.00;+0.00%;15.14%;Ні;*;недоступний у фіді
DDAH1A10;1381.00;1381.00;+0.00%;1600.00;1600.00;+0.00%;15.14%;Ні;*;недоступний у фіді
DDAH1A12;1805.00;1805.00;+0.00%;2080.00;2080.00;+0.00%;15.14%;Ні;*;недоступний у фіді
DDAH1A14;1746.00;1746.00;+0.00%;2020.00;2020.00;+0.00%;15.14%;Ні;*;недоступний у фіді
DEBF2207;694.00;694.00;+0.00%;790.00;790.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DEC100-330M-220-ITALY;34037.00;34037.00;+0.00%;37120.00;37120.00;+0.00%;9.05%;Ні;*;недоступний у фіді
DEC100-330T-380-ITALY;35117.00;35117.00;+0.00%;38300.00;38300.00;+0.00%;9.05%;Ні;*;недоступний у фіді
DEC200-480-380-ITALY;54003.00;54003.00;+0.00%;58900.00;58900.00;+0.00%;9.05%;Ні;*;недоступний у фіді
DEC270-840-380-ITALY;91032.00;91032.00;+0.00%;99280.00;99280.00;+0.00%;9.05%;Ні;*;недоступний у фіді
DEF500-840-380-ITALY;111320.00;111320.00;+0.00%;121400.00;121400.00;+0.00%;9.05%;Ні;*;недоступний у фіді
DELTA;88000.00;88000.00;+0.00%;97040.00;97040.00;+0.00%;10.27%;Ні;*;недоступний у фіді
DFBE228E;825.00;825.00;+0.00%;940.00;940.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DFBJ2205;159.00;159.00;+0.00%;190.00;190.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DFBK2205;239.00;239.00;+0.00%;280.00;280.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DFCN2206;482.00;482.00;+0.00%;550.00;550.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DFDC1208;619.00;619.00;+0.00%;710.00;710.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DG-10-3;133.00;133.00;+0.00%;150.00;150.00;+0.00%;10.63%;Ні;*;недоступний у фіді
DGBA2106;740.00;740.00;+0.00%;850.00;850.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGBA2107;827.00;827.00;+0.00%;940.00;940.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGBA2108;905.00;905.00;+0.00%;1030.00;1030.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGBB2106;764.00;764.00;+0.00%;870.00;870.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGBB2108;821.00;821.00;+0.00%;940.00;940.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGBC2106;697.00;697.00;+0.00%;800.00;800.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGBD2106;752.00;752.00;+0.00%;870.00;870.00;+0.00%;15.00%;Ні;*;недоступний у фіді
DGBE2110;1010.00;1010.00;+0.00%;1170.00;1170.00;+0.00%;15.00%;Ні;*;недоступний у фіді
DGBF2108;863.00;863.00;+0.00%;990.00;990.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DGCB2208;932.00;932.00;+0.00%;1060.00;1060.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DIDW0101;263.00;263.00;+0.00%;310.00;310.00;+0.00%;14.60%;Ні;*;недоступний у фіді
DJBB2204;239.00;239.00;+0.00%;280.00;280.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DL-H-2;230.00;230.00;+0.00%;270.00;270.00;+0.00%;15.00%;Ні;*;недоступний у фіді
DLAH2016;674.00;674.00;+0.00%;750.00;750.00;+0.00%;10.63%;Ні;*;недоступний у фіді
DLAK2012;674.00;674.00;+0.00%;750.00;750.00;+0.00%;10.63%;Ні;*;недоступний у фіді
DLAK6012;674.00;674.00;+0.00%;750.00;750.00;+0.00%;10.63%;Ні;*;недоступний у фіді
DLK-HEP-2;285.00;285.00;+0.00%;330.00;330.00;+0.00%;15.00%;Ні;*;недоступний у фіді
DNAA1208;583.00;583.00;+0.00%;670.00;670.00;+0.00%;13.65%;Ні;*;недоступний у фіді
DT-100N;11953.00;11953.00;+0.00%;13790.00;13790.00;+0.00%;15.34%;Ні;*;недоступний у фіді
DT-135I3;14137.00;14137.00;+0.00%;16310.00;16310.00;+0.00%;15.34%;Ні;*;недоступний у фіді
EA-600;2086.00;2086.00;+0.00%;2410.00;2410.00;+0.00%;15.12%;Ні;*;недоступний у фіді
EHF0200;126.00;126.00;+0.00%;150.00;150.00;+0.00%;13.55%;Ні;*;недоступний у фіді
EHF0500;203.00;203.00;+0.00%;240.00;240.00;+0.00%;13.55%;Ні;*;недоступний у фіді
EHF0800;301.00;301.00;+0.00%;350.00;350.00;+0.00%;13.55%;Ні;*;недоступний у фіді
EHF1000;324.00;324.00;+0.00%;370.00;370.00;+0.00%;13.55%;Ні;*;недоступний у фіді
EHW0800;250.00;250.00;+0.00%;290.00;290.00;+0.00%;13.55%;Ні;*;недоступний у фіді
EHW1000;299.00;299.00;+0.00%;340.00;340.00;+0.00%;13.55%;Ні;*;недоступний у фіді
ESP-150;8778.00;8778.00;+0.00%;10100.00;10100.00;+0.00%;15.00%;Ні;*;недоступний у фіді
FACB1030;400.00;400.00;+0.00%;470.00;470.00;+0.00%;15.29%;Ні;*;недоступний у фіді
FACB1040;467.00;467.00;+0.00%;540.00;540.00;+0.00%;15.29%;Ні;*;недоступний у фіді
FAEF0410V4;160.00;160.00;+0.00%;190.00;190.00;+0.00%;15.29%;Ні;*;недоступний у фіді
FBAD0210;173.00;173.00;+0.00%;200.00;200.00;+0.00%;15.29%;Ні;*;недоступний у фіді
FC14;62.00;62.00;+0.00%;80.00;80.00;+0.00%;14.33%;Ні;*;недоступний у фіді
FC5015;124.00;124.00;+0.00%;150.00;150.00;+0.00%;14.43%;Ні;*;недоступний у фіді
FC5030;167.00;167.00;+0.00%;200.00;200.00;+0.00%;14.43%;Ні;*;недоступний у фіді
FJAB0213;165.00;165.00;+0.00%;200.00;200.00;+0.00%;15.29%;Ні;*;недоступний у фіді
FJAB0315;158.00;158.00;+0.00%;190.00;190.00;+0.00%;15.29%;Ні;*;недоступний у фіді
FL-1002W;2058.00;2058.00;+0.00%;2370.00;2370.00;+0.00%;15.00%;Ні;*;недоступний у фіді
FOCUS-DIESEL;21450.00;21450.00;+0.00%;24670.00;24670.00;+0.00%;15.00%;Ні;*;недоступний у фіді
FR7;2202.00;2202.00;+0.00%;2500.00;2500.00;+0.00%;13.20%;Ні;*;недоступний у фіді
FR8;2202.00;2202.00;+0.00%;2500.00;2500.00;+0.00%;13.20%;Ні;*;недоступний у фіді
FSSW2108;278.00;278.00;+0.00%;330.00;330.00;+0.00%;15.14%;Ні;*;недоступний у фіді
FTEC1421;385.00;385.00;+0.00%;450.00;450.00;+0.00%;15.29%;Ні;*;недоступний у фіді
GAAL0910;481.00;481.00;+0.00%;560.00;560.00;+0.00%;15.27%;Ні;*;недоступний у фіді
GAAL0911;609.00;609.00;+0.00%;710.00;710.00;+0.00%;15.27%;Ні;*;недоступний у фіді
GAAL0912;678.00;678.00;+0.00%;790.00;790.00;+0.00%;15.27%;Ні;*;недоступний у фіді
GAAL0913;522.00;522.00;+0.00%;600.00;600.00;+0.00%;14.88%;Ні;*;недоступний у фіді
GAAL0914;634.00;634.00;+0.00%;730.00;730.00;+0.00%;14.88%;Ні;*;недоступний у фіді
GAAL0916;619.00;619.00;+0.00%;720.00;720.00;+0.00%;14.88%;Ні;*;недоступний у фіді
GAAL0919;699.00;699.00;+0.00%;810.00;810.00;+0.00%;14.88%;Ні;*;недоступний у фіді
GAAR1201;543.00;543.00;+0.00%;630.00;630.00;+0.00%;15.01%;Ні;*;недоступний у фіді
GAAT0101;1585.00;1585.00;+0.00%;1760.00;1760.00;+0.00%;10.63%;Ні;*;недоступний у фіді
GAAT0709;217.00;217.00;+0.00%;250.00;250.00;+0.00%;15.01%;Ні;*;недоступний у фіді
GABW3101;1117.00;1117.00;+0.00%;1290.00;1290.00;+0.00%;15.01%;Ні;*;недоступний у фіді
GACW3503;1098.00;1098.00;+0.00%;1270.00;1270.00;+0.00%;15.01%;Ні;*;недоступний у фіді
GBAR0205;394.00;394.00;+0.00%;460.00;460.00;+0.00%;15.14%;Ні;*;недоступний у фіді
GC1302;82.00;82.00;+0.00%;100.00;100.00;+0.00%;14.43%;Ні;*;недоступний у фіді
GC1304;173.00;173.00;+0.00%;200.00;200.00;+0.00%;14.43%;Ні;*;недоступний у фіді
GCAD1407;8100.00;8100.00;+0.00%;9330.00;9330.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GCAD1607;2770.00;2770.00;+0.00%;3200.00;3200.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GCAI5101;3197.00;3197.00;+0.00%;3690.00;3690.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GCAJ0008;74872.00;74872.00;+0.00%;86070.00;86070.00;+0.00%;14.95%;Ні;*;недоступний у фіді
GCAJ0018;71616.00;71616.00;+0.00%;82330.00;82330.00;+0.00%;14.95%;Ні;*;недоступний у фіді
GCAZ0013;40195.00;40195.00;+0.00%;46300.00;46300.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GCAZ0039;14926.00;14926.00;+0.00%;17200.00;17200.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GDAE0701;1756.00;1756.00;+0.00%;1940.00;1940.00;+0.00%;10.38%;Ні;*;недоступний у фіді
GDAI2702;12387.00;12387.00;+0.00%;13680.00;13680.00;+0.00%;10.38%;Ні;*;недоступний у фіді
GDAI2704;14385.00;14385.00;+0.00%;15880.00;15880.00;+0.00%;10.38%;Ні;*;недоступний у фіді
GE-26105;56725.00;56725.00;+0.00%;65210.00;65210.00;+0.00%;14.95%;Ні;*;недоступний у фіді
